id,created_at,text
1463087639238746117,2021-11-23 10:10:50+00:00,"We're looking forward to celebrating our graduands' great achievements at the @RCSI_Nursing conferring ceremony today. 

Join us live at 11am. https://t.co/qcubtvAeb0
#RCSIConferring🎓 https://t.co/tl9CF6UdfG"
1463084220713209860,2021-11-23 09:57:15+00:00,"One in four people who required critical care for COVID-19 have died

#COVID19Ireland 
https://t.co/83lJF6mjlf"
1462846402674020361,2021-11-22 18:12:15+00:00,"We're looking forward to celebrating our newest graduates at the @RCSI_Nursing ceremony tomorrow.

Join us live at 11am. https://t.co/U5d0dFU6Gw #RCSIconferring https://t.co/0IXDrSOB1M"
1462832191226920978,2021-11-22 17:15:47+00:00,"Congratulations to Prof. David Cotter and his team on their €1.5m @hrbireland Collaborative Doctoral Award.

The funding will provide a structured PhD training and research programme on early stage identification of psychotic disorders such as schizophrenia and bipolar disorder. https://t.co/6wFoX1OHyM"
1461722531958820872,2021-11-19 15:46:23+00:00,"Professor Ronan O'Connell, President of RCSI, said: ""At this uncertain and challenging time we have made this difficult decision to play our part in curbing the spread of the virus."""
1461722137652346888,2021-11-19 15:44:49+00:00,"RCSI conferring ceremony postponed due to concern about rising COVID-19 cases in Ireland. 

https://t.co/Uuw0dq8Wlk"
1461647123162796034,2021-11-19 10:46:44+00:00,"New RCSI undergraduate programme trains future-focused scientists to respond to global healthcare challenges.

@RCSIPharmBioMol #therapeutictechnologies
https://t.co/vaWLo0MKml"
1461627749756461057,2021-11-19 09:29:45+00:00,"Do you know how easily bacteria spread?

Proper #HandHygiene is key to reducing the spread of bacteria and viruses.

📹@EAAD_EU #WAAW2021 
#WashYourHands 🧼 https://t.co/0lNGwot9Nx"
1461359810918563857,2021-11-18 15:45:04+00:00,"@FfitzP @RCSI_Micro @RCSI_Research @EAAD_EU @ECDC_EU @iscm_micro Visit https://t.co/Lp5Uh1sJ3D for evidence-based advice on how to manage the typical winter viral illnesses.

#KeepAntibioticsWorking 
#WinterHealth @RCSI_Micro"
1461359340384706571,2021-11-18 15:43:12+00:00,"Antimicrobial resistance is accelerated by the misuse and overuse of antibiotics.

This winter, handle antimicrobials with care.

@FfitzP #KeepAntibioticsWorking https://t.co/wM4JGrCr0i"
1461339885286031385,2021-11-18 14:25:53+00:00,"Ahead of next week's #THEAwards Prof. Hannah McGee explores solutions to address the unique challenges that universities face in preparing healthcare students for frontline roles.

RCSI is proud to be shortlisted for Outstanding Support for Students.   

https://t.co/Ts4f05E9ie"
1461317671044227072,2021-11-18 12:57:37+00:00,"Antimicrobial resistance is a global health threat requiring urgent action.

#AMR occurs naturally, but misuse of antibiotics in humans and animals is accelerating the process.

#KeepAntibioticsWorking https://t.co/vW77evPvE9"
1461291644234473473,2021-11-18 11:14:12+00:00,"Remember: Antibiotics won’t work in the case of cold or flu. 

Antibiotics are effective only against bacterial infections, not infections caused by viruses such as colds or flu. 

Visit https://t.co/Lp5Uh1Kksd 
#KeepAntibioticsWorking #EAAD https://t.co/U7qV00FimH"
1461277438298705925,2021-11-18 10:17:45+00:00,"RCSI urges people to handle antimicrobials with care this winter

Today’s #EAAD reminds us how important it is to #KeepAntibioticsWorking. @FfitzP @RCSI_Micro 
https://t.co/HxB6Zz5hoD"
1460609582787706886,2021-11-16 14:03:56+00:00,"Watch: A toolkit for living well during the pandemic

@LM_Tully, Prof. @MarycannonMary and Dr @PadraicDunne2 share strategies to improve your well-being.

► https://t.co/6xNsbtfFyZ https://t.co/BkRN4sa8M9"
1460579585003827203,2021-11-16 12:04:43+00:00,"Congratulations to Prof. Mary Cannon @MarycannonMary for being named on the #HighlyCited2021 Researchers List. 

The @ClarivateAG list recognises Prof. Cannon's rank in the top 1% by citations in her field of youth psychiatry and mental health.

https://t.co/cMOKFvtf6B https://t.co/UN1amH2XXe"
1460548728348102659,2021-11-16 10:02:07+00:00,"Previous measures needed to prevent health system being overwhelmed

#COVID19Ireland #VaccinesSaveLives 
https://t.co/SPJjqC7vJm"
1460537946604507136,2021-11-16 09:19:16+00:00,"Applications are now open for the RCSI MiniMed series

#TransitionYear students are invited to experience what it's like to train and work as a healthcare professional. 

🎫https://t.co/EQyV55ez1U #edchatie https://t.co/Ebrd7Bd08r"
1460352725892448259,2021-11-15 21:03:16+00:00,"Tools for promoting good health and well-being  

Join @LM_Tully, Prof. @MarycannonMary and Dr @PadraicDunne2 at #RCSIMyHealth tomorrow.

https://t.co/ai0MfXBo2x #lifestylemedicine https://t.co/U8aPzNtxqS"
1460174679361179650,2021-11-15 09:15:46+00:00,"How to live well during the pandemic and beyond

@LM_Tully, Prof. @MarycannonMary and Dr @PadraicDunne2 will explore the principles of #lifestylemedicine at #RCSIMyHealth.

Sign up: https://t.co/ai0MfXBo2x https://t.co/S6zXnhySkK"
1459836882146242566,2021-11-14 10:53:29+00:00,"We are incredibly proud to be named University of the Year for Student Engagement 2022 by @SunTimesIreland Good University Guide. 

Thanks to everyone in the RCSI community who made this award possible.

https://t.co/gFsyaAfNP7 https://t.co/ErnaeJ4vR2"
1459134778666532866,2021-11-12 12:23:35+00:00,"How can we learn to live well during a pandemic? 

@LM_Tully, Prof. @MarycannonMary and Dr @PadraicDunne2 will share ways to improve physical and emotional health.

Sign up: https://t.co/ai0MfXBo2x #RCSIMyHealth https://t.co/466W7uSoo1"
